Sigla;Nome
AALR3;ALLIAR ON
AAPL34;APPLE DRN
ABBV34;ABBVIE DRN
ABCB4;ABC BRASIL PN
ABCP11;FII ABC IMOB
ABEV3;AMBEV S/A ON
ABTT34;ABBOTT DRN
ACNB34;ACCENTURE DRN
ADHM3;ADVANCED-DH ON
AFLT3;AFLUENTE T ON
AGRO3;BRASILAGRO ON
AHEB3;SPTURIS ON
AIGB34;AIG GROUP DRN
ALMI11;FII TORRE AL
ALPA3;ALPARGATAS ON
ALPA4;ALPARGATAS PN
ALSC3;ALIANSCE ON
ALUP11;ALUPAR UNT
ALUP3;ALUPAR ON
ALUP4;ALUPAR PN
ALZR11;FII ALIANZA
AMAR3;LOJAS MARISA ON
AMGN34;AMGEN DRN
AMZO34;AMAZON DRN
ANIM3;ANIMA ON
APER3;ALPER S.A.
ARMT34;ARCELOR DRN
ARNC34;ARCONIC DRN
ARZZ3;AREZZO CO ON
ATOM3;ATOMPAR ON
ATSA11;FII CSHGATSA
ATTB34;ATT INC DRN
AVON34;AVON DRN
AXPB34;AMERICAN EXP DRN
AZEV3;AZEVEDO ON
AZEV4;AZEVEDO PN
AZUL4;AZUL PN
B3SA3;B3
BAHI3;BAHEMA ON
BALM4;BAUMER PN
BAUH4;EXCELSIOR PN
BAZA3;AMAZONIA ON
BBAS3;BRASIL ON
BBDC3;BRADESCO ON
BBDC4;BRADESCO PN
BBFI11B;FII BB PROGR
BBPO11;FII BB PRGII
BBRC11;FII BB CORP
BBRK3;BR BROKERS ON
BBSD11;BB ETF SP DV CI
BBSE3;BBSEGURIDADE ON
BBVJ11;FII C JARDIM
BBYY34;BEST BUY DRN
BCFF11;FII BC FFII
BCIA11;FII BCIA
BCRI11;FII BEES CRI
BDLL4;BARDELLA PN
BEEF3;MINERVA ON
BEES3;BANESTES ON
BEES4;BANESTES PN
BERK34;BERKSHIRE DRN
BGIP3;BANESE ON
BGIP4;BANESE PN
BIDI11;BANCO INTER UNT
BIDI3;BANCO INTER
BIDI4;BANCO INTER PN
BIIB34;BIOGEN DRN
BIOM3;BIOMM ON
BKBR3;BK BRASIL
BLAK34;BLACKROCK DRN
BMEB3;MERC BRASIL ON
BMEB4;MERC BRASIL PN
BMIN3;MERC INVEST ON
BMIN4;MERC INVEST PN
BMKS3;BIC MONARK ON
BMLC11B;FII BMBRC LC
BMYB34;BRISTOLMYERS DRN
BNBR3;NORD BRASIL ON
BNFS11;FII BANRISUL
BOAC34;BANK AMERICA DRN
BOBR4;BOMBRIL PN
BOEI34;BOEING DRN
BONY34;BNY MELLON DRN
BOVA11;ISHARES BOVA CI
BOVV11;IT NOW IBOV CI
BOXP34;BOSTON PROP DRN
BPAC11;BTGP BANCO UNT
BPAC3;BTGP BANCO ON
BPAC5;BTGP BANCO PNA
BPAN4;BANCO PAN PN
BPFF11;FII ABSOLUTO
BRAP3;BRADESPAR ON
BRAP4;BRADESPAR PN
BRAX11;ISHARES BRAX CI
BRCR11;FII BC FUND
BRDT3;PETROBRAS BR
BRFS3;BRF SA ON
BRGE11;ALFA CONSORC PNE
BRGE12;ALFA CONSORC PNF
BRGE3;ALFA CONSORC ON
BRGE6;ALFA CONSORC PNB
BRGE8;ALFA CONSORC PND
BRIV3;ALFA INVEST ON
BRIV4;ALFA INVEST PN
BRKM3;BRASKEM ON
BRKM5;BRASKEM PNA
BRML3;BR MALLS PAR ON
BRPR3;BR PROPERT ON
BRSR3;BANRISUL ON
BRSR5;BANRISUL PNA
BRSR6;BANRISUL PNB
BSEV3;BIOSEV ON
BSLI3;BRB BANCO ON
BSLI4;BRB BANCO PN
BTCR11;FII BTG CRI
BTOW3;B2W DIGITAL ON
BTTL3;BATTISTELLA ON
BZLI11;FII BRREALTY
CAMB4;CAMBUCI PN
CAML3;CAMIL ON
CARD3;CSU CARDSYST ON
CARE11;FII DEA CARE
CATP34;CATERPILLAR DRN
CBEE3;AMPLA ENERG ON
CBOP11;FII C BRANCO
CCPR3;CYRE COM-CCP ON
CCRO3;CCR SA ON
CCXC3;CCX CARVAO ON
CEBR3;CEB ON
CEBR5;CEB PNA
CEBR6;CEB PNB
CEDO3;CEDRO ON
CEDO4;CEDRO PN
CEEB3;COELBA ON
CEGR3;CEG ON
CELP3;CELPA ON
CELP5;CELPA PNA
CELP6;CELPA PNB
CELP7;CELPA PNC
CEOC11;FII CEO CCP
CEPE5;CELPE PNA
CEPE6;CELPE PNB
CESP3;CESP ON
CESP5;CESP PNA
CESP6;CESP PNB
CGAS3;COMGAS ON
CGAS5;COMGAS PNA
CGRA3;GRAZZIOTIN ON
CGRA4;GRAZZIOTIN PN
CHKE34;CHESAPEAKE DRN
CHVX34;CHEVRON DRN
CIEL3;CIELO ON
CLGN34;CELGENE CORP DRN
CLSC4;CELESC PN
CMCS34;COMCAST DRN
CMIG3;CEMIG ON
CMIG4;CEMIG PN
CNES11;FII CENESP
CNTO3;CENTAURO ON
COCA34;COCA COLA DRN
COCE3;COELCE ON
COCE5;COELCE PNA
COLG34;COLGATE DRN
COPH34;COPHILLIPS DRN
COTY34;COTY INC DRN
COWC34;COSTCO DRN
CPFE3;CPFL ENERGIA ON
CPLE3;COPEL ON
CPLE6;COPEL PNB
CPRE3;CPFL RENOVAV ON
CPTS11B;FII CAPI SEC
CRDE3;CR2 ON
CRFB3;CARREFOUR BR ON
CRFF11;FII CX RBRA2
CRIV3;ALFA FINANC ON
CRIV4;ALFA FINANC PN
CRPG3;CRISTAL ON
CRPG5;CRISTAL PNA
CRPG6;CRISTAL PNB
CSAB3;SEG AL BAHIA ON
CSAB4;SEG AL BAHIA PN
CSAN3;COSAN ON
CSCO34;CISCO DRN
CSMG3;COPASA ON
CSNA3;SID NACIONAL ON
CSRN3;COSERN ON
CSRN5;COSERN PNA
CSRN6;COSERN PNB
CTGP34;CITIGROUP DRN
CTKA3;KARSTEN ON
CTKA4;KARSTEN PN
CTNM3;COTEMINAS ON
CTNM4;COTEMINAS PN
CTSA3;SANTANENSE ON
CTSA4;SANTANENSE PN
CTSH34;COGNIZANT DRN
CTXT11;FII C TEXTIL
CVCB3;CVC BRASIL ON
CVSH34;CVS HEALTH DRN
CXCE11B;FII CX CEDAE
CXRI11;FII CX RBRAV
CXTL11;FII CX TRX
CYRE3;CYRELA REALT ON
DASA3;DASA ON
DEAI34;DELTA DRN
DHER34;DANAHER CORP DRN
DIRR3;DIRECIONAL ON
DISB34;WALT DISNEY DRN
DIVO11;IT NOW IDIV CI
DMAC11;FII MAC
DMMO3;DOMMO ON
DOHL4;DOHLER PN
DOMC11;FII DOMO
DRIT11B;FII MTGESTAO
DTCY3;DTCOM-DIRECT ON
DTEX3;DURATEX ON
DUKB34;DUKE ENERGY DRN
EALT3;ACO ALTONA ON
EALT4;ACO ALTONA PN
EBAY34;EBAY DRN
ECOO11;ISHARES ECOO CI
ECOR3;ECORODOVIAS ON
ECPR3;ENCORPAR ON
EDFO11B;FII OURINVES
EDGA11;FII GALERIA
EEEL3;CEEE-GT ON
EGIE3;ENGIE BRASIL ON
EKTR4;ELEKTRO PN
ELEK3;ELEKEIROZ ON
ELEK4;ELEKEIROZ PN
ELET3;ELETROBRAS ON
ELET6;ELETROBRAS PNB
ELPL3;ELETROPAULO ON
EMAE4;EMAE PN
EMBR3;EMBRAER ON
ENAT3;ENAUTA PART
ENBR3;ENERGIAS BR ON
ENEV3;ENEVA ON
ENGI11;ENERGISA UNT
ENGI3;ENERGISA ON
ENGI4;ENERGISA PN
ENMA3B;CEMAR
ENMT3;ENERGISA MT ON
ENMT4;ENERGISA MT PN
EQTL3;EQUATORIAL ON
ESTC3;ESTACIO PART ON
ESTR4;ESTRELA PN
ETER3;ETERNIT ON
EUCA3;EUCATEX ON
EUCA4;EUCATEX PN
EURO11;FII EUROPAR
EVEN3;EVEN ON
EXXO34;EXXON MOBIL DRN
EZTC3;EZTEC ON
FAED11;FII ANH EDUC
FAMB11B;FII ALMIRANT
FBOK34;FACEBOOK DRN
FCFL11;FII CAMPUSFL
FCXO34;FREEPORT DRN
FDMO34;FORD MOTORS DRN
FDXB34;FEDEX CORP DRN
FESA3;FERBASA ON
FESA4;FERBASA PN
FEXC11;FII EXCELLEN
FFCI11;FII RIOB RC
