Sigla,Nome,Setor
ZS=F,SOJA,Commodities
SI=F,PRATA,Commodities
CL=F,PETRÓLEO CRU,Commodities
USDBRL=X,DOLAR,Moeda
GC=F,OURO,Moeda
^IXIC,NASDAQ,Índice
^DJI,DOW JONES,Índice
^BVSP,IBOVESPA,Índice
AALR3,ALLIAR ON,Servicos Medico - Hospitalares
AAPL34,APPLE DRN,DBRs
ABBV34,ABBVIE DRN,DBRs
ABCB4,ABC BRASIL PN,Bancos
ABCP11,FII ABC IMOB,DBRs
ABEV3,AMBEV S/A ON,Alimentos Processados
ABTT34,ABBOTT DRN,DBRs
ACNB34,ACCENTURE DRN,DBRs
ADHM3,ADVANCED-DH ON,Servicos Medico - Hospitalares
AFLT3,AFLUENTE T ON,Energia Elétrica
AGRO3,BRASILAGRO ON,Agropecuária
AHEB3,SPTURIS ON,Viagens e Lazer
AIGB34,AIG GROUP DRN,DBRs
ALMI11,FII TORRE AL,DBRs
ALPA3,ALPARGATAS ON,"Tecidos, Vestuário e Calçados"
ALPA4,ALPARGATAS PN,"Tecidos, Vestuário e Calçados"
ALSC3,ALIANSCE ON,DBRs
ALUP11,ALUPAR UNT,Energia Elétrica
ALUP3,ALUPAR ON,Energia Elétrica
ALUP4,ALUPAR PN,Energia Elétrica
ALZR11,FII ALIANZA,DBRs
AMAR3,LOJAS MARISA ON,"Tecidos, Vestuário e Calçados"
AMGN34,AMGEN DRN,DBRs
AMZO34,AMAZON DRN,DBRs
ANIM3,ANIMA ON,Serviços Educacionais
APER3,ALPER S.A.,Seguradoras
ARMT34,ARCELOR DRN,DBRs
ARNC34,ARCONIC DRN,DBRs
ARZZ3,AREZZO CO ON,"Tecidos, Vestuário e Calçados"
ATOM3,ATOMPAR ON,Outros
ATSA11,FII CSHGATSA,DBRs
ATTB34,ATT INC DRN,DBRs
AVON34,AVON DRN,DBRs
AXPB34,AMERICAN EXP DRN,DBRs
AZEV3,AZEVEDO ON,Construção e Engenharia
AZEV4,AZEVEDO PN,Construção e Engenharia
AZUL4,AZUL PN,Transporte
B3SA3,B3,Gestão de Recursos e Investimentos
BAHI3,BAHEMA ON,Serviços Educacionais
BALM4,BAUMER PN,Servicos Medico - Hospitalares
BAUH4,EXCELSIOR PN,Alimentos Processados
BAZA3,AMAZONIA ON,Bancos
BBAS3,BRASIL ON,Bancos
BBDC3,BRADESCO ON,Bancos
BBDC4,BRADESCO PN,Bancos
