Sigla,Nome,Setor,Mercado
PETZ3,PETZ,Animais,BOVESPA
ZS=F,SOJA,Commodities,BOVESPA
SI=F,PRATA,Commodities,BOVESPA
CL=F,PETRÓLEO CRU,Commodities,BOVESPA
USDBRL=X,DOLAR,Moeda,BOVESPA
GC=F,OURO,Moeda,BOVESPA
^IXIC,NASDAQ,Índice,BOVESPA
^DJI,DOW JONES,Índice,BOVESPA
^BVSP,IBOVESPA,Índice,BOVESPA
AALR3,ALLIAR ON,Servicos Medico - Hospitalares,BOVESPA
AAPL34,APPLE DRN,DBRs,BOVESPA
ABBV34,ABBVIE DRN,DBRs,BOVESPA
ABCB4,ABC BRASIL PN,Bancos,BOVESPA
ABCP11,FII ABC IMOB,DBRs,BOVESPA
ABEV3,AMBEV S/A ON,Alimentos Processados,BOVESPA
ABTT34,ABBOTT DRN,DBRs,BOVESPA
ACNB34,ACCENTURE DRN,DBRs,BOVESPA
ADHM3,ADVANCED-DH ON,Servicos Medico - Hospitalares,BOVESPA
AFLT3,AFLUENTE T ON,Energia Elétrica,BOVESPA
AGRO3,BRASILAGRO ON,Agropecuária,BOVESPA
AHEB3,SPTURIS ON,Viagens e Lazer,BOVESPA
AIGB34,AIG GROUP DRN,DBRs,BOVESPA
ALMI11,FII TORRE AL,DBRs,BOVESPA
ALPA3,ALPARGATAS ON,"Tecidos, Vestuário e Calçados",BOVESPA
ALPA4,ALPARGATAS PN,"Tecidos, Vestuário e Calçados",BOVESPA
ALSC3,ALIANSCE ON,DBRs,BOVESPA
ALUP11,ALUPAR UNT,Energia Elétrica,BOVESPA
ALUP3,ALUPAR ON,Energia Elétrica,BOVESPA
ALUP4,ALUPAR PN,Energia Elétrica,BOVESPA
ALZR11,FII ALIANZA,DBRs,BOVESPA
AMAR3,LOJAS MARISA ON,"Tecidos, Vestuário e Calçados",BOVESPA
AMGN34,AMGEN DRN,DBRs,BOVESPA
AMZO34,AMAZON DRN,DBRs,BOVESPA
ANIM3,ANIMA ON,Serviços Educacionais,BOVESPA
APER3,ALPER S.A.,Seguradoras,BOVESPA
ARMT34,ARCELOR DRN,DBRs,BOVESPA
ARNC34,ARCONIC DRN,DBRs,BOVESPA
ARZZ3,AREZZO CO ON,"Tecidos, Vestuário e Calçados",BOVESPA
ATOM3,ATOMPAR ON,Outros,BOVESPA
ATSA11,FII CSHGATSA,DBRs,BOVESPA
ATTB34,ATT INC DRN,DBRs,BOVESPA
AVON34,AVON DRN,DBRs,BOVESPA
AXPB34,AMERICAN EXP DRN,DBRs,BOVESPA
AZEV3,AZEVEDO ON,Construção e Engenharia,BOVESPA
AZEV4,AZEVEDO PN,Construção e Engenharia,BOVESPA
AZUL4,AZUL PN,Transporte,BOVESPA
B3SA3,B3,Gestão de Recursos e Investimentos,BOVESPA
BAHI3,BAHEMA ON,Serviços Educacionais,BOVESPA
BALM4,BAUMER PN,Servicos Medico - Hospitalares,BOVESPA
BAUH4,EXCELSIOR PN,Alimentos Processados,BOVESPA
BAZA3,AMAZONIA ON,Bancos,BOVESPA
BBAS3,BRASIL ON,Bancos,BOVESPA
BBDC3,BRADESCO ON,Bancos,BOVESPA
BBDC4,BRADESCO PN,Bancos,BOVESPA
BBFI11B,FII BB PROGR,DBRs,BOVESPA
BBPO11,FII BB PRGII,DBRs,BOVESPA
BBRC11,FII BB CORP,DBRs,BOVESPA
BBRK3,BR BROKERS ON,Imoveis,BOVESPA
BBSD11,BB ETF SP DV CI,DBRs,BOVESPA
BBSE3,BBSEGURIDADE ON,Seguradoras,BOVESPA
BBVJ11,FII C JARDIM,DBRs,BOVESPA
BBYY34,BEST BUY DRN,DBRs,BOVESPA
BCFF11,FII BC FFII,DBRs,BOVESPA
BCIA11,FII BCIA,DBRs,BOVESPA
BCRI11,FII BEES CRI,DBRs,BOVESPA
BDLL4,BARDELLA PN,Máquinas e Equipamentos,BOVESPA
BEEF3,MINERVA ON,Alimentos Processados,BOVESPA
BEES3,BANESTES ON,Bancos,BOVESPA
BEES4,BANESTES PN,Bancos,BOVESPA
BERK34,BERKSHIRE DRN,DBRs,BOVESPA
BGIP3,BANESE ON,Bancos,BOVESPA
BGIP4,BANESE PN,Bancos,BOVESPA
BIDI11,BANCO INTER UNT,Bancos,BOVESPA
BIDI3,BANCO INTER,Bancos,BOVESPA
BIDI4,BANCO INTER PN,Bancos,BOVESPA
BIIB34,BIOGEN DRN,DBRs,BOVESPA
BIOM3,BIOMM ON,Medicamentos e Outros Produtos,BOVESPA
BKBR3,BK BRASIL,Hoteis e Restaurantes,BOVESPA
BLAK34,BLACKROCK DRN,DBRs,BOVESPA
BMEB3,MERC BRASIL ON,Bancos,BOVESPA
BMEB4,MERC BRASIL PN,Bancos,BOVESPA
BMIN3,MERC INVEST ON,Bancos,BOVESPA
BMIN4,MERC INVEST PN,Bancos,BOVESPA
BMKS3,BIC MONARK ON,Viagens e Lazer,BOVESPA
BMLC11B,FII BMBRC LC,DBRs,BOVESPA
BMYB34,BRISTOLMYERS DRN,DBRs,BOVESPA
BNBR3,NORD BRASIL ON,Bancos,BOVESPA
BNFS11,FII BANRISUL,DBRs,BOVESPA
BOAC34,BANK AMERICA DRN,DBRs,BOVESPA
BOBR4,BOMBRIL PN,Produtos de Uso Pessoal e de Limpeza,BOVESPA
BOEI34,BOEING DRN,DBRs,BOVESPA
BONY34,BNY MELLON DRN,DBRs,BOVESPA
